region,year,GenDebt,GDPGrowth,GenSpend,Inflation,GovRevenue,PopGrowth,UrbanPopGrowth,Unemp,AgeDepRatio,HealthSpend,MiliSpend,EduSpend,Corruption
Belgium,2020,112.04,-4.792983897,58.89954075,0.740791812,49.92767108,0.430996815,0.469743865,5.545,30.04899829,11.19751263,1.012484707,6.801859856,76
Brazil,2012,61.61,1.921175986,39.30980508,5.40349914,36.95847903,0.811598483,1.156032159,7.251,10.29100496,7.73637724,1.378656465,5.855100155,43
Brazil,2013,59.6,3.004822669,39.78084068,6.204310666,36.35870802,0.810511648,1.146721464,7.071,10.62611683,7.9766016,1.329446084,5.838850021,42
Brazil,2014,61.62,0.50395574,41.42643156,6.329040155,35.1514999,0.806314178,1.137888414,6.755,11.00724814,8.39644146,1.330244423,5.948480129,43
Brazil,2015,71.73,-3.545763393,46.19129646,9.029901024,36.9099194,0.791721774,1.116370829,8.538,11.4254652,8.90929985,1.365517154,6.24105978,38
Brazil,2016,77.42,-3.275916908,45.50329577,8.739143523,37.5126817,0.76197267,1.078598167,11.58,11.86042681,9.16901493,1.347975413,6.314040184,40
Brazil,2017,82.74,1.322869054,44.29733135,3.44637335,36.32766002,0.72824666,1.038079352,12.792,12.31796735,9.47124863,1.414021668,6.32047987,37
Brazil,2018,84.78,1.783666762,44.18065947,3.664850284,37.19052129,0.683439571,0.984230272,12.33,12.80536339,9.46475029,1.469677724,6.088510036,35
Brazil,2019,87.12,1.220777824,43.0428764,3.732976212,38.1843502,0.651994346,0.946124107,11.936,13.31054761,9.61449146,1.382797246,5.963469982,35
Brazil,2020,96.01,-3.276758796,46.17842199,3.211768038,34.5415339,0.57935071,0.865727194,13.697,13.78234542,10.18235016,1.326660269,5.771500111,38
Bulgaria,2012,16.55,0.748814897,32.51875951,2.954568298,32.08459288,-0.579220596,-0.116335429,12.27,28.07643604,7.54,1.329818965,3.476500034,41
Bulgaria,2013,17.17,-0.542751603,35.46998658,0.890093541,33.71843517,-0.559647217,-0.097544085,12.941,28.89824071,7.14,1.454042831,4.057660103,41
Bulgaria,2014,26.26,0.949448985,37.08045613,-1.418183803,33.42860544,-0.568389264,-0.108408405,11.424,29.77394025,7.68,1.309602232,4.070053101,43
